,Front,Back,Audio
0,you,vous,[sound:vous.mp3]
1,is,est,[sound:est.mp3]
2,that,que,[sound:que.mp3]
3,a,a,[sound:a.mp3]
4,to,à,[sound:à.mp3]
5,and,et,[sound:et.mp3]
6,not,pas,[sound:pas.mp3]
7,the,le,[sound:le.mp3]
8,it,il,[sound:il.mp3]
9,like,comme,[sound:comme.mp3]
10,are,sont,[sound:sont.mp3]
11,do,faire,[sound:faire.mp3]
12,we,nous,[sound:nous.mp3]
13,know,savons,[sound:savons.mp3]
14,of,de,[sound:de.mp3]
15,they,ils,[sound:ils.mp3]
16,have,ont,[sound:ont.mp3]
17,be,être,[sound:être.mp3]
18,in,en,[sound:en.mp3]
19,so,donc,[sound:donc.mp3]
20,just,juste,[sound:juste.mp3]
21,there,là,[sound:là.mp3]
22,as,comme,[sound:comme.mp3]
23,right,bien,[sound:bien.mp3]
24,i,i,[sound:i.mp3]
25,but,mais,[sound:mais.mp3]
26,them,les,[sound:les.mp3]
27,this,ce,[sound:ce.mp3]
28,going,de l'histoire,[sound:de l'histoire.mp3]
29,she,elle,[sound:elle.mp3]
30,really,vraiment,[sound:vraiment.mp3]
31,woman,femme,[sound:femme.mp3]
32,or,ou,[sound:ou.mp3]
33,think,penser,[sound:penser.mp3]
34,who,qui,[sound:qui.mp3]
35,because,parce que,[sound:parce que.mp3]
36,gon,gon,[sound:gon.mp3]
37,na,na,[sound:na.mp3]
38,all,tous,[sound:tous.mp3]
39,when,quand,[sound:quand.mp3]
40,for,pour,[sound:pour.mp3]
41,oh,oh,[sound:oh.mp3]
42,trans,trans,[sound:trans.mp3]
43,about,à propos de,[sound:à propos de.mp3]
44,person,personne,[sound:personne.mp3]
45,difference,différence,[sound:différence.mp3]
46,then,alors,[sound:alors.mp3]
47,at,à,[sound:à.mp3]
48,average,moyenne,[sound:moyenne.mp3]
49,if,si,[sound:si.mp3]
50,could,pourrait,[sound:pourrait.mp3]
51,than,que,[sound:que.mp3]
52,on,sur,[sound:sur.mp3]
53,much,beaucoup,[sound:beaucoup.mp3]
54,man,homme,[sound:homme.mp3]
55,does,fait,[sound:fait.mp3]
56,lot,beaucoup,[sound:beaucoup.mp3]
57,your,votre,[sound:votre.mp3]
58,no,pas,[sound:pas.mp3]
59,can,peut,[sound:peut.mp3]
60,how,comment,[sound:comment.mp3]
61,good,bon,[sound:bon.mp3]
62,talk,parler,[sound:parler.mp3]
63,very,très,[sound:très.mp3]
64,make,faire,[sound:faire.mp3]
65,want,vouloir,[sound:vouloir.mp3]
66,athletes,athlètes,[sound:athlètes.mp3]
67,what,ce,[sound:ce.mp3]
68,were,étaient,[sound:étaient.mp3]
69,thing,chose,[sound:chose.mp3]
70,more,plus,[sound:plus.mp3]
71,been,était,[sound:était.mp3]
72,would,serait,[sound:serait.mp3]
73,with,avec,[sound:avec.mp3]
74,even,même,[sound:même.mp3]
75,was,était,[sound:était.mp3]
76,out,en dehors de,[sound:en dehors de.mp3]
77,these,ces,[sound:ces.mp3]
78,did,a fait,[sound:a fait.mp3]
79,men,hommes,[sound:hommes.mp3]
80,people,personnes,[sound:personnes.mp3]
81,anything,de la,[sound:de la.mp3]
82,get,obtenir,[sound:obtenir.mp3]
83,kind,genre,[sound:genre.mp3]
84,an,un,[sound:un.mp3]
85,some,de la,[sound:de la.mp3]
86,go,de la,[sound:de la.mp3]
87,able,pouvoir,[sound:pouvoir.mp3]
88,high,haut,[sound:haut.mp3]
89,something,quelque chose,[sound:quelque chose.mp3]
90,face,visage,[sound:visage.mp3]
91,things,choses,[sound:choses.mp3]
92,might,pourrait,[sound:pourrait.mp3]
93,idea,idée,[sound:idée.mp3]
94,her,son,[sound:son.mp3]
95,stuff,trucs,[sound:trucs.mp3]
96,their,leur,[sound:leur.mp3]
97,never,jamais,[sound:jamais.mp3]
98,world,monde,[sound:monde.mp3]
99,top,haut,[sound:haut.mp3]
100,body,corps,[sound:corps.mp3]
101,level,niveau,[sound:niveau.mp3]
102,my,mon,[sound:mon.mp3]
103,probably,probablement,[sound:probablement.mp3]
104,cannot,ne peut pas,[sound:ne peut pas.mp3]
105,stupid,stupide,[sound:stupide.mp3]
106,kayla,kayla,[sound:kayla.mp3]
107,take,prendre,[sound:prendre.mp3]
108,olympic,olympique,[sound:olympique.mp3]
109,he,il,[sound:il.mp3]
110,big,grand,[sound:grand.mp3]
111,being,être,[sound:être.mp3]
112,ever,toujours,[sound:toujours.mp3]
113,whether,si,[sound:si.mp3]
114,maybe,peut-être,[sound:peut-être.mp3]
115,bother,déranger,[sound:déranger.mp3]
116,ask,demander,[sound:demander.mp3]
117,has,a,[sound:a.mp3]
118,changes,changements,[sound:changements.mp3]
119,now,de la,[sound:de la.mp3]
120,time,temps,[sound:temps.mp3]
121,cool,cool,[sound:cool.mp3]
122,nice,sympa,[sound:sympa.mp3]
123,him,lui,[sound:lui.mp3]
124,say,dire,[sound:dire.mp3]
125,same,même,[sound:même.mp3]
126,got,a,[sound:a.mp3]
127,little,petit,[sound:petit.mp3]
128,dude,mec,[sound:mec.mp3]
129,hate,détester,[sound:détester.mp3]
130,me,moi,[sound:moi.mp3]
131,let,laisser,[sound:laisser.mp3]
132,fact,fait,[sound:fait.mp3]
133,scenario,scénario,[sound:scénario.mp3]
134,actually,en fait,[sound:en fait.mp3]
135,realize,réaliser,[sound:réaliser.mp3]
136,girl,fille,[sound:fille.mp3]
137,way,façon,[sound:façon.mp3]
138,disney,disney,[sound:disney.mp3]
139,hey,hey,[sound:hey.mp3]
140,absolutely,absolument,[sound:absolument.mp3]
141,why,pourquoi,[sound:pourquoi.mp3]
142,yeah,ouais,[sound:ouais.mp3]
143,least,moins,[sound:moins.mp3]
144,see,voir,[sound:voir.mp3]
145,better,mieux,[sound:mieux.mp3]
146,else,autre,[sound:autre.mp3]
147,went,a été,[sound:a été.mp3]
148,matter,sujet,[sound:sujet.mp3]
149,ton,ton,[sound:ton.mp3]
150,always,toujours,[sound:toujours.mp3]
151,ideas,idées,[sound:idées.mp3]
152,muscle,muscle,[sound:muscle.mp3]
153,recognize,reconnaître,[sound:reconnaître.mp3]
154,basically,fondamentalement,[sound:fondamentalement.mp3]
155,us,nous,[sound:nous.mp3]
156,athlete,athlète,[sound:athlète.mp3]
157,aspects,aspects,[sound:aspects.mp3]
158,stronger,plus fort,[sound:plus fort.mp3]
159,every,chaque,[sound:chaque.mp3]
160,work,travail,[sound:travail.mp3]
161,lose,perdre,[sound:perdre.mp3]
162,capacity,capacité,[sound:capacité.mp3]
163,simple,simple,[sound:simple.mp3]
164,from,de,[sound:de.mp3]
165,day,jour,[sound:jour.mp3]
166,here,ici,[sound:ici.mp3]
167,talking,parler,[sound:parler.mp3]
168,immediately,immédiatement,[sound:immédiatement.mp3]
169,transition,transition,[sound:transition.mp3]
170,fast,rapide,[sound:rapide.mp3]
171,which,qui,[sound:qui.mp3]
172,well,bien,[sound:bien.mp3]
173,bit,mors,[sound:mors.mp3]
174,made,fait,[sound:fait.mp3]
175,understand,comprendre,[sound:comprendre.mp3]
176,somebody,quelqu'un,[sound:quelqu'un.mp3]
177,larger,plus grand,[sound:plus grand.mp3]
178,other,autre,[sound:autre.mp3]
179,too,aussi,[sound:aussi.mp3]
180,stands,stands,[sound:stands.mp3]
181,try,essayer,[sound:essayer.mp3]
182,worked,travaillé,[sound:travaillé.mp3]
183,horrible,horrible,[sound:horrible.mp3]
184,two,deux,[sound:deux.mp3]
185,where,où,[sound:où.mp3]
186,skinny,maigre,[sound:maigre.mp3]
187,one,un,[sound:un.mp3]
188,many,beaucoup,[sound:beaucoup.mp3]
189,single,unique,[sound:unique.mp3]
190,school,école,[sound:école.mp3]
191,those,ces,[sound:ces.mp3]
192,weight,poids,[sound:poids.mp3]
