,Front,Back,Audio
0,choice,choix,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/choix.mp3]
1,it lets you ,ça te permet ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/ça te permet .mp3]
2,discover ,découvrir ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/découvrir .mp3]
3,find,trouver,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/trouver.mp3]
4,folder ,dossier ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/dossier .mp3]
5,words,les mots,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/les mots.mp3]
6,place,placer,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/placer.mp3]
7,Visual code studio ,Studio de code visuel ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/Studio de code visuel .mp3]
8,I was hoping that ,j'avais l'espoir que ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/j'avais l'espoir que .mp3]
9,like,genre,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/genre.mp3]
10,manuals,manuels,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/manuels.mp3]
11,fantasy ,fantaisie ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/fantaisie .mp3]
12,relevant,pertinents,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/pertinents.mp3]
13,but ,mais ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/mais .mp3]
14,ent ,ent ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/ent .mp3]
15,story,histoire,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/histoire.mp3]
16,Ten percent ,Dix pour cent ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/Dix pour cent .mp3]
17,Musso Guillaume ,Musso Guillaume ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/Musso Guillaume .mp3]
18,Paper girl ,Fille en papier ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/Fille en papier .mp3]
19,engaging ,engageante ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/engageante .mp3]
20,life is a novel ,la vie est un roman ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/la vie est un roman .mp3]
21,We have read ,Nous avons lu ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/Nous avons lu .mp3]
22,a biography ,une biographie ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/une biographie .mp3]
23,computer science ,informatique ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/informatique .mp3]
24,specialty ,spécialité ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/spécialité .mp3]
25,it helps ,ça aide ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/ça aide .mp3]
26,improve ,s'améliorer ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/s'améliorer .mp3]
