,Front,Back,Audio
0,choice,choix,[sound:choix.mp3]
1,it lets you ,ça te permet ,[sound:ça te permet .mp3]
2,discover ,découvrir ,[sound:découvrir .mp3]
3,find,trouver,[sound:trouver.mp3]
4,folder ,dossier ,[sound:dossier .mp3]
5,words,les mots,[sound:les mots.mp3]
6,place,placer,[sound:placer.mp3]
7,Visual code studio ,Studio de code visuel ,[sound:Studio de code visuel .mp3]
8,I was hoping that ,j'avais l'espoir que ,[sound:j'avais l'espoir que .mp3]
9,like,genre,[sound:genre.mp3]
10,manuals,manuels,[sound:manuels.mp3]
11,fantasy ,fantaisie ,[sound:fantaisie .mp3]
12,relevant,pertinents,[sound:pertinents.mp3]
13,but ,mais ,[sound:mais .mp3]
14,ent ,ent ,[sound:ent .mp3]
15,story,histoire,[sound:histoire.mp3]
16,Ten percent ,Dix pour cent ,[sound:Dix pour cent .mp3]
17,Musso Guillaume ,Musso Guillaume ,[sound:Musso Guillaume .mp3]
18,Paper girl ,Fille en papier ,[sound:Fille en papier .mp3]
19,engaging ,engageante ,[sound:engageante .mp3]
20,life is a novel ,la vie est un roman ,[sound:la vie est un roman .mp3]
21,We have read ,Nous avons lu ,[sound:Nous avons lu .mp3]
22,a biography ,une biographie ,[sound:une biographie .mp3]
23,computer science ,informatique ,[sound:informatique .mp3]
24,specialty ,spécialité ,[sound:spécialité .mp3]
25,it helps ,ça aide ,[sound:ça aide .mp3]
26,improve ,s'améliorer ,[sound:s'améliorer .mp3]
27,billions ,des milliards ,[sound:des milliards .mp3]
28,what does that mean? ,qu'est ce que ça veut dire? ,[sound:qu'est ce que ça veut dire? .mp3]
29,up and down ,haut et bas ,[sound:haut et bas .mp3]
30,that's why ,c'est pour ça ,[sound:c'est pour ça .mp3]
31,many ,beaucoup ,[sound:beaucoup .mp3]
32,chips,puces,[sound:puces.mp3]
33,everywhere ,partout ,[sound:partout .mp3]
34,cheat ,tromper ,[sound:tromper .mp3]
35,months,mois,[sound:mois.mp3]
36,successful ,réussi ,[sound:réussi .mp3]
37,it would never have been ,ça n'aurait jamais été ,[sound:ça n'aurait jamais été .mp3]
38,I would have ,j'aurais eu ,[sound:j'aurais eu .mp3]
39,past participle ,participe passé ,[sound:participe passé .mp3]
40,I had ,j'ai eu ,[sound:j'ai eu .mp3]
41,worse ,pire ,[sound:pire .mp3]
42,by yourself ,par toi même ,[sound:par toi même .mp3]
43,je ne savais pas ,je ne savais pas ,[sound:je ne savais pas .mp3]
44,Piece of French ,Piece of French ,[sound:Piece of French .mp3]
45,obviously ,évidemment ,[sound:évidemment .mp3]
46,she speaks very slowly ,elle parle très lentement ,[sound:elle parle très lentement .mp3]
47,I have no choice ,je n'ai pas de choix ,[sound:je n'ai pas de choix .mp3]
48,It seems that ,Il parait que ,[sound:Il parait que .mp3]
49,at my parents' house ,chez mes parents ,[sound:chez mes parents .mp3]
50,it's going to be okay ,ça va être okay ,[sound:ça va être okay .mp3]
51,i wanted to live ,je voulais vivre ,[sound:je voulais vivre .mp3]
52,salary,salaire,[sound:salaire.mp3]
53,unfortunately ,malheureusement ,[sound:malheureusement .mp3]
54,disappointing ,décevant ,[sound:décevant .mp3]
55,strikes ,les grèves ,[sound:les grèves .mp3]
56,rights ,les droits ,[sound:les droits .mp3]
57,who do anything ,qui font n'importe quoi ,[sound:qui font n'importe quoi .mp3]
58,scary ,qui fait peur ,[sound:qui fait peur .mp3]
59,I've heard it said ,j'ai entendu dire ,[sound:j'ai entendu dire .mp3]
60,impatient ,impatients ,[sound:impatients .mp3]
61,they can't wait ,ils ont hâte ,[sound:ils ont hâte .mp3]
62,office ,bureau ,[sound:bureau .mp3]
63,small convo ,petites convo ,[sound:petites convo .mp3]
64,right to the point ,droit au but ,[sound:droit au but .mp3]
65,on leave ,en congés ,[sound:en congés .mp3]
66,logic ,logique ,[sound:logique .mp3]
67,an internship ,un stage ,[sound:un stage .mp3]
68,water dispenser ,distributeur d'eau ,[sound:distributeur d'eau .mp3]
69,gossip ,potins ,[sound:potins .mp3]
70,they all ,ils ont tous ,[sound:ils ont tous .mp3]
71,they don't care ,ils s'en fichent ,[sound:ils s'en fichent .mp3]
